File name                     Graph size  Result
graph_188_0.8_3.txt           188         2         found     
graph_418_0.4_7.txt           418         5         found     
graph_635_0.4_1.txt           635         1         found     
graph_1_0.6_1.txt             1           2         not found 
graph_224_0.6_9.txt           224         2         found     
graph_78_0.8_1.txt            78          2         found     
graph_614_0.4_3.txt           614         2         found     
graph_702_0.4_6.txt           702         2         found     
graph_71_0.4_3.txt            71          2         found     
graph_460_0.6_5.txt           460         1         found     
graph_366_0.6_4.txt           366         1         found     
graph_171_0.4_0.txt           171         2         found     
graph_701_0.6_3.txt           701         1         found     
graph_199_0.8_3.txt           199         3         found     
graph_679_0.2_8.txt           679         3         found     
graph_519_0.6_3.txt           519         1         found     
graph_403_0.2_0.txt           403         3         found     
graph_912_0.6_2.txt           912         2         found     
graph_615_0.6_1.txt           615         1         found     
graph_744_0.8_9.txt           744         1         found     
graph_381_0.8_2.txt           381         2         found     
graph_945_0.8_2.txt           945         2         found     
graph_224_0.8_4.txt           224         1         found     
graph_164_0.8_9.txt           164         5         found     
graph_457_0.2_2.txt           457         4         found     
graph_813_0.6_2.txt           813         2         found     
graph_712_0.2_9.txt           712         2         found     
graph_765_0.4_3.txt           765         1         found     
graph_267_0.8_8.txt           267         1         found     
graph_26_0.4_7.txt            26          5         found     
graph_213_0.8_0.txt           213         1         found     
graph_265_0.4_7.txt           265         1         found     
graph_42_0.6_0.txt            42          2         found     
graph_13_0.2_3.txt            13          1         found     
graph_966_0.2_7.txt           966         2         found     
graph_370_0.2_0.txt           370         1         found     
graph_201_0.6_5.txt           201         3         found     
graph_655_0.2_1.txt           655         3         found     
graph_823_0.2_8.txt           823         2         found     
graph_18_0.6_2.txt            18          2         found     
graph_978_0.8_8.txt           978         2         found     
graph_99_0.4_9.txt            99          3         found     
graph_508_0.2_5.txt           508         3         found     
graph_768_0.2_8.txt           768         1         found     
graph_996_0.6_6.txt           996         2         found     
graph_738_0.2_0.txt           738         3         found     
graph_733_0.2_4.txt           733         2         found     
graph_964_0.2_8.txt           964         2         found     
graph_703_0.6_0.txt           703         1         found     
graph_940_0.4_4.txt           940         5         found     
graph_918_0.2_0.txt           918         4         found     
graph_322_0.8_4.txt           322         1         found     
graph_581_0.2_7.txt           581         3         found     
graph_448_0.4_3.txt           448         2         found     
graph_53_0.8_2.txt            53          3         found     
graph_604_0.6_7.txt           604         1         found     
graph_927_0.2_0.txt           927         5         found     
graph_377_0.4_2.txt           377         1         found     
graph_719_0.2_0.txt           719         4         found     
graph_551_0.4_5.txt           551         1         found     
graph_254_0.6_5.txt           254         2         found     
graph_576_0.2_1.txt           576         4         found     
graph_605_0.8_3.txt           605         2         found     
graph_108_0.6_3.txt           108         1         found     
graph_363_0.4_6.txt           363         1         found     
graph_865_0.6_2.txt           865         1         found     
graph_342_0.8_5.txt           342         2         found     
graph_364_0.2_7.txt           364         2         found     
graph_208_0.8_5.txt           208         2         found     
graph_991_0.2_0.txt           991         7         found     
graph_354_0.4_9.txt           354         2         found     
graph_642_0.8_1.txt           642         2         found     
graph_206_0.6_2.txt           206         2         found     
graph_201_0.6_2.txt           201         2         found     
graph_735_0.6_2.txt           735         2         found     
graph_12_0.4_4.txt            12          2         found     
graph_604_1_0.txt             604         2         found     
graph_963_0.4_3.txt           963         2         found     
graph_533_0.2_8.txt           533         3         found     
graph_941_0.2_9.txt           941         2         found     
graph_722_0.6_9.txt           722         1         found     
graph_579_0.6_9.txt           579         2         found     
graph_50_0.4_0.txt            50          5         found     
graph_728_0.6_3.txt           728         2         found     
graph_476_0.6_3.txt           476         2         found     
graph_539_0.2_8.txt           539         6         found     
graph_3_0.6_4.txt             3           2         not found 
graph_989_0.2_0.txt           989         4         found     
graph_707_0.6_0.txt           707         2         found     
graph_272_0.4_6.txt           272         2         found     
graph_515_0.2_7.txt           515         2         found     
graph_174_0.8_8.txt           174         4         found     
graph_630_0.2_0.txt           630         1         found     
graph_204_0.4_2.txt           204         2         found     
graph_634_0.4_7.txt           634         1         found     
graph_230_0.6_3.txt           230         1         found     
graph_345_0.4_5.txt           345         2         found     
graph_820_0.2_1.txt           820         5         found     
graph_781_0.4_8.txt           781         1         found     
graph_936_0.8_7.txt           936         1         found     
graph_27_0.2_6.txt            27          1         found     
graph_231_0.8_6.txt           231         2         found     
graph_311_0.2_3.txt           311         3         found     
graph_280_0.6_3.txt           280         2         found     
graph_868_0.4_6.txt           868         3         found     
graph_764_0.2_9.txt           764         4         found     
graph_691_0.4_9.txt           691         1         found     
graph_930_0.2_0.txt           930         2         found     
graph_845_0.6_1.txt           845         1         found     
graph_354_0.6_0.txt           354         1         found     
graph_790_1_0.txt             790         1         found     
graph_335_0.4_1.txt           335         2         found     
graph_110_0.4_3.txt           110         1         found     
graph_789_1_0.txt             789         2         found     
graph_479_0.8_4.txt           479         1         found     
