File name                     Graph size  Result
graph_188_0.8_3.txt           188         107       found     
graph_418_0.4_7.txt           418         170       found     
graph_635_0.4_1.txt           635         256       found     
graph_1_0.6_1.txt             1           1         not found 
graph_224_0.6_9.txt           224         80        found     
graph_78_0.8_1.txt            78          28        found     
graph_614_0.4_3.txt           614         252       found     
graph_702_0.4_6.txt           702         358       found     
graph_71_0.4_3.txt            71          12        found     
graph_460_0.6_5.txt           460         402       found     
graph_366_0.6_4.txt           366         224       found     
graph_171_0.4_0.txt           171         63        found     
graph_701_0.6_3.txt           701         1353      found     
graph_199_0.8_3.txt           199         95        found     
graph_679_0.2_8.txt           679         148       found     
graph_519_0.6_3.txt           519         553       found     
graph_403_0.2_0.txt           403         61        found     
graph_912_0.6_2.txt           912         2953      found     
graph_615_0.6_1.txt           615         653       found     
graph_744_0.8_9.txt           744         2580      found     
graph_381_0.8_2.txt           381         336       found     
graph_945_0.8_2.txt           945         5457      found     
graph_224_0.8_4.txt           224         124       found     
graph_164_0.8_9.txt           164         82        found     
graph_457_0.2_2.txt           457         99        found     
graph_813_0.6_2.txt           813         1625      found     
graph_712_0.2_9.txt           712         144       found     
graph_765_0.4_3.txt           765         437       found     
graph_267_0.8_8.txt           267         154       found     
graph_26_0.4_7.txt            26          5         found     
graph_213_0.8_0.txt           213         112       found     
graph_265_0.4_7.txt           265         79        found     
graph_42_0.6_0.txt            42          8         found     
graph_13_0.2_3.txt            13          2         found     
graph_966_0.2_7.txt           966         195       found     
graph_370_0.2_0.txt           370         63        found     
graph_201_0.6_5.txt           201         109       found     
graph_655_0.2_1.txt           655         205       found     
graph_823_0.2_8.txt           823         203       found     
graph_18_0.6_2.txt            18          3         found     
graph_978_0.8_8.txt           978         6303      found     
graph_99_0.4_9.txt            99          16        found     
graph_508_0.2_5.txt           508         83        found     
graph_768_0.2_8.txt           768         170       found     
graph_996_0.6_6.txt           996         3398      found     
graph_738_0.2_0.txt           738         159       found     
graph_733_0.2_4.txt           733         156       found     
graph_964_0.2_8.txt           964         187       found     
graph_703_0.6_0.txt           703         917       found     
graph_940_0.4_4.txt           940         725       found     
graph_918_0.2_0.txt           918         163       found     
graph_322_0.8_4.txt           322         215       found     
graph_581_0.2_7.txt           581         102       found     
graph_448_0.4_3.txt           448         208       found     
graph_53_0.8_2.txt            53          15        found     
graph_604_0.6_7.txt           604         677       found     
graph_927_0.2_0.txt           927         245       found     
graph_377_0.4_2.txt           377         122       found     
graph_719_0.2_0.txt           719         180       found     
graph_551_0.4_5.txt           551         246       found     
graph_254_0.6_5.txt           254         152       found     
graph_576_0.2_1.txt           576         98        found     
graph_605_0.8_3.txt           605         1730      found     
graph_108_0.6_3.txt           108         38        found     
graph_363_0.4_6.txt           363         108       found     
graph_865_0.6_2.txt           865         2034      found     
graph_342_0.8_5.txt           342         265       found     
graph_364_0.2_7.txt           364         54        found     
graph_208_0.8_5.txt           208         116       found     
