File name                     Graph size  Result
graph_188_0.8_3.txt           188         1739      not found 
graph_418_0.4_7.txt           418         6459      not found 
graph_635_0.4_1.txt           635         -         timed out 
graph_1_0.6_1.txt             1           1         not found 
graph_224_0.6_9.txt           224         1625      not found 
graph_78_0.8_1.txt            78          157       not found 
graph_614_0.4_3.txt           614         -         timed out 
graph_702_0.4_6.txt           702         -         timed out 
graph_71_0.4_3.txt            71          90        not found 
graph_460_0.6_5.txt           460         -         timed out 
graph_366_0.6_4.txt           366         10994     not found 
graph_171_0.4_0.txt           171         455       not found 
graph_701_0.6_3.txt           701         -         timed out 
graph_199_0.8_3.txt           199         2110      not found 
graph_679_0.2_8.txt           679         6638      not found 
graph_519_0.6_3.txt           519         -         timed out 
graph_403_0.2_0.txt           403         1160      not found 
graph_912_0.6_2.txt           912         -         timed out 
graph_615_0.6_1.txt           615         -         timed out 
graph_744_0.8_9.txt           744         -         timed out 
graph_381_0.8_2.txt           381         -         timed out 
graph_945_0.8_2.txt           945         -         timed out 
graph_224_0.8_4.txt           224         3282      not found 
graph_164_0.8_9.txt           164         1031      not found 
graph_457_0.2_2.txt           457         1817      not found 
graph_813_0.6_2.txt           813         -         timed out 
graph_712_0.2_9.txt           712         8286      not found 
graph_765_0.4_3.txt           765         -         timed out 
graph_267_0.8_8.txt           267         5995      not found 
graph_26_0.4_7.txt            26          8         not found 
graph_213_0.8_0.txt           213         2566      not found 
graph_265_0.4_7.txt           265         1312      not found 
graph_42_0.6_0.txt            42          33        not found 
graph_13_0.2_3.txt            13          1         found     
graph_966_0.2_7.txt           966         -         timed out 
graph_370_0.2_0.txt           370         912       not found 
graph_201_0.6_5.txt           201         1256      not found 
graph_655_0.2_1.txt           655         5873      not found 
graph_823_0.2_8.txt           823         14095     not found 
graph_18_0.6_2.txt            18          8         not found 
graph_978_0.8_8.txt           978         -         timed out 
graph_99_0.4_9.txt            99          103       not found 
graph_508_0.2_5.txt           508         2395      not found 
graph_768_0.2_8.txt           768         10701     not found 
graph_996_0.6_6.txt           996         -         timed out 
graph_738_0.2_0.txt           738         9145      not found 
graph_733_0.2_4.txt           733         9036      not found 
graph_964_0.2_8.txt           964         -         timed out 
graph_703_0.6_0.txt           703         -         timed out 
graph_940_0.4_4.txt           940         -         timed out 
graph_918_0.2_0.txt           918         22008     not found 
graph_322_0.8_4.txt           322         14394     not found 
graph_581_0.2_7.txt           581         3989      not found 
graph_448_0.4_3.txt           448         8553      not found 
graph_53_0.8_2.txt            53          68        not found 
graph_604_0.6_7.txt           604         -         timed out 
graph_927_0.2_0.txt           927         25267     not found 
graph_377_0.4_2.txt           377         4373      not found 
graph_719_0.2_0.txt           719         8450      not found 
graph_551_0.4_5.txt           551         21209     not found 
graph_254_0.6_5.txt           254         2667      not found 
graph_576_0.2_1.txt           576         4074      not found 
graph_605_0.8_3.txt           605         -         timed out 
graph_108_0.6_3.txt           108         317       not found 
graph_363_0.4_6.txt           363         3611      not found 
graph_865_0.6_2.txt           865         -         timed out 
graph_342_0.8_5.txt           342         19610     not found 
graph_364_0.2_7.txt           364         782       not found 
graph_208_0.8_5.txt           208         2513      not found 
graph_991_0.2_0.txt           991         -         timed out 
graph_354_0.4_9.txt           354         3682      not found 
graph_642_0.8_1.txt           642         -         timed out 
graph_206_0.6_2.txt           206         1363      not found 
graph_201_0.6_2.txt           201         1340      not found 
graph_735_0.6_2.txt           735         -         timed out 
graph_12_0.4_4.txt            12          2         found     
graph_604_1_0.txt             604         2975      found     
graph_963_0.4_3.txt           963         -         timed out 
graph_533_0.2_8.txt           533         2746      not found 
graph_941_0.2_9.txt           941         26351     not found 
graph_722_0.6_9.txt           722         -         timed out 
graph_579_0.6_9.txt           579         -         timed out 
graph_50_0.4_0.txt            50          26        not found 
graph_728_0.6_3.txt           728         -         timed out 
graph_476_0.6_3.txt           476         -         timed out 
graph_539_0.2_8.txt           539         3006      not found 
graph_3_0.6_4.txt             3           1         found     
graph_989_0.2_0.txt           989         -         timed out 
graph_707_0.6_0.txt           707         -         timed out 
graph_272_0.4_6.txt           272         1636      not found 
graph_515_0.2_7.txt           515         2507      not found 
graph_174_0.8_8.txt           174         1295      not found 
graph_630_0.2_0.txt           630         5248      not found 
graph_204_0.4_2.txt           204         576       not found 
graph_634_0.4_7.txt           634         -         timed out 
graph_230_0.6_3.txt           230         1908      not found 
graph_345_0.4_5.txt           345         3173      not found 
graph_820_0.2_1.txt           820         14122     not found 
graph_781_0.4_8.txt           781         -         timed out 
graph_936_0.8_7.txt           936         -         timed out 
graph_27_0.2_6.txt            27          4         found     
graph_231_0.8_6.txt           231         3731      not found 
graph_311_0.2_3.txt           311         566       not found 
graph_280_0.6_3.txt           280         3859      not found 
graph_868_0.4_6.txt           868         -         timed out 
graph_764_0.2_9.txt           764         10145     not found 
graph_691_0.4_9.txt           691         -         timed out 
graph_930_0.2_0.txt           930         24498     not found 
graph_845_0.6_1.txt           845         -         timed out 
graph_354_0.6_0.txt           354         9122      not found 
graph_790_1_0.txt             790         7992      found     
graph_335_0.4_1.txt           335         2816      not found 
graph_110_0.4_3.txt           110         184       not found 
graph_789_1_0.txt             789         7952      found     
graph_479_0.8_4.txt           479         -         timed out 
graph_818_0.6_2.txt           818         -         timed out 
graph_738_0.6_4.txt           738         -         timed out 
graph_529_0.4_1.txt           529         18557     not found 
graph_393_0.6_1.txt           393         14257     not found 
graph_607_0.2_9.txt           607         4249      not found 
graph_811_0.6_6.txt           811         -         timed out 
graph_6_0.8_5.txt             6           3         found     
graph_865_0.8_5.txt           865         -         timed out 
graph_346_0.4_5.txt           346         3206      not found 
graph_530_0.8_8.txt           530         -         timed out 
graph_87_0.4_1.txt            87          116       not found 
graph_131_0.4_5.txt           131         356       not found 
graph_471_0.4_4.txt           471         11233     not found 
graph_780_0.4_0.txt           780         -         timed out 
graph_570_0.8_8.txt           570         -         timed out 
graph_659_0.8_5.txt           659         -         timed out 
graph_413_0.2_6.txt           413         1300      not found 
graph_797_0.8_9.txt           797         -         timed out 
graph_15_0.2_4.txt            15          1         found     
graph_188_0.6_4.txt           188         965       not found 
graph_478_0.8_7.txt           478         -         timed out 
graph_322_0.4_6.txt           322         2549      not found 
graph_471_0.4_5.txt           471         10686     not found 
graph_255_0.8_1.txt           255         5032      not found 
graph_508_1_0.txt             508         2321      found     
graph_803_0.2_2.txt           803         13764     not found 
graph_91_0.8_9.txt            91          258       not found 
graph_269_0.2_9.txt           269         316       not found 
graph_770_0.6_4.txt           770         -         timed out 
graph_496_0.8_1.txt           496         -         timed out 
graph_718_0.6_5.txt           718         -         timed out 
graph_849_0.8_1.txt           849         -         timed out 
graph_753_0.2_7.txt           753         9775      not found 
graph_769_0.6_4.txt           769         -         timed out 
graph_252_0.6_2.txt           252         2749      not found 
graph_301_0.2_0.txt           301         611       not found 
graph_208_0.2_7.txt           208         260       not found 
graph_912_0.6_9.txt           912         -         timed out 
graph_928_0.4_0.txt           928         -         timed out 
graph_259_0.6_6.txt           259         2894      not found 
graph_933_0.8_2.txt           933         -         timed out 
graph_997_0.4_0.txt           997         -         timed out 
graph_844_1_0.txt             844         8465      found     
graph_223_0.6_8.txt           223         1896      not found 
graph_310_0.6_4.txt           310         5708      not found 
graph_120_0.8_2.txt           120         390       not found 
graph_431_0.6_0.txt           431         23045     not found 
graph_496_0.6_7.txt           496         -         timed out 
graph_923_0.2_6.txt           923         22735     not found 
graph_940_0.6_9.txt           940         -         timed out 
graph_157_0.8_8.txt           157         1007      not found 
graph_193_0.2_4.txt           193         114       not found 
graph_517_0.8_4.txt           517         -         timed out 
graph_696_0.2_3.txt           696         7551      not found 
graph_692_0.2_0.txt           692         7112      not found 
