File name                     Graph size  Result
graph_188_0.8_3.txt           188         69        found     
graph_418_0.4_7.txt           418         285       found     
graph_635_0.4_1.txt           635         519       found     
graph_1_0.6_1.txt             1           0         not found 
graph_224_0.6_9.txt           224         157       found     
graph_78_0.8_1.txt            78          51        found     
graph_614_0.4_3.txt           614         441       found     
graph_702_0.4_6.txt           702         1020      found     
graph_71_0.4_3.txt            71          15        found     
graph_460_0.6_5.txt           460         291       found     
graph_366_0.6_4.txt           366         172       found     
graph_171_0.4_0.txt           171         52        found     
graph_701_0.6_3.txt           701         1499      found     
graph_199_0.8_3.txt           199         108       found     
graph_679_0.2_8.txt           679         370       found     
graph_519_0.6_3.txt           519         487       found     
graph_403_0.2_0.txt           403         175       found     
graph_912_0.6_2.txt           912         2649      found     
graph_615_0.6_1.txt           615         641       found     
graph_744_0.8_9.txt           744         1605      found     
graph_381_0.8_2.txt           381         210       found     
graph_945_0.8_2.txt           945         3689      found     
graph_224_0.8_4.txt           224         130       found     
graph_164_0.8_9.txt           164         84        found     
graph_457_0.2_2.txt           457         237       found     
graph_813_0.6_2.txt           813         2335      found     
graph_712_0.2_9.txt           712         395       found     
graph_765_0.4_3.txt           765         1025      found     
graph_267_0.8_8.txt           267         102       found     
graph_26_0.4_7.txt            26          5         found     
graph_213_0.8_0.txt           213         164       found     
graph_265_0.4_7.txt           265         133       found     
graph_42_0.6_0.txt            42          7         found     
graph_13_0.2_3.txt            13          1         found     
graph_966_0.2_7.txt           966         1587      found     
graph_370_0.2_0.txt           370         253       found     
graph_201_0.6_5.txt           201         195       found     
graph_655_0.2_1.txt           655         367       found     
graph_823_0.2_8.txt           823         816       found     
graph_18_0.6_2.txt            18          3         found     
graph_978_0.8_8.txt           978         3990      found     
graph_99_0.4_9.txt            99          66        found     
graph_508_0.2_5.txt           508         222       found     
graph_768_0.2_8.txt           768         558       found     
graph_996_0.6_6.txt           996         3513      found     
graph_738_0.2_0.txt           738         459       found     
graph_733_0.2_4.txt           733         552       found     
graph_964_0.2_8.txt           964         1483      found     
graph_703_0.6_0.txt           703         1196      found     
graph_940_0.4_4.txt           940         2335      found     
graph_918_0.2_0.txt           918         1366      found     
graph_322_0.8_4.txt           322         235       found     
graph_581_0.2_7.txt           581         379       found     
graph_448_0.4_3.txt           448         370       found     
graph_53_0.8_2.txt            53          13        found     
graph_604_0.6_7.txt           604         629       found     
graph_927_0.2_0.txt           927         1058      found     
graph_377_0.4_2.txt           377         178       found     
graph_719_0.2_0.txt           719         465       found     
graph_551_0.4_5.txt           551         350       found     
graph_254_0.6_5.txt           254         115       found     
graph_576_0.2_1.txt           576         273       found     
graph_605_0.8_3.txt           605         880       found     
graph_108_0.6_3.txt           108         32        found     
graph_363_0.4_6.txt           363         188       found     
graph_865_0.6_2.txt           865         2319      found     
graph_342_0.8_5.txt           342         173       found     
graph_364_0.2_7.txt           364         180       found     
graph_208_0.8_5.txt           208         125       found     
graph_991_0.2_0.txt           991         1458      found     
graph_354_0.4_9.txt           354         116       found     
graph_642_0.8_1.txt           642         947       found     
graph_206_0.6_2.txt           206         93        found     
graph_201_0.6_2.txt           201         146       found     
graph_735_0.6_2.txt           735         1358      found     
graph_12_0.4_4.txt            12          1         found     
graph_604_1_0.txt             604         884       found     
graph_963_0.4_3.txt           963         2523      found     
graph_533_0.2_8.txt           533         247       found     
graph_941_0.2_9.txt           941         1181      found     
graph_722_0.6_9.txt           722         1189      found     
graph_579_0.6_9.txt           579         522       found     
graph_50_0.4_0.txt            50          8         found     
graph_728_0.6_3.txt           728         1351      found     
graph_476_0.6_3.txt           476         258       found     
graph_539_0.2_8.txt           539         242       found     
graph_3_0.6_4.txt             3           0         not found 
graph_989_0.2_0.txt           989         2021      found     
graph_707_0.6_0.txt           707         1581      found     
graph_272_0.4_6.txt           272         111       found     
graph_515_0.2_7.txt           515         195       found     
graph_174_0.8_8.txt           174         126       found     
graph_630_0.2_0.txt           630         394       found     
graph_204_0.4_2.txt           204         75        found     
graph_634_0.4_7.txt           634         490       found     
graph_230_0.6_3.txt           230         83        found     
graph_345_0.4_5.txt           345         191       found     
graph_820_0.2_1.txt           820         730       found     
graph_781_0.4_8.txt           781         1294      found     
graph_936_0.8_7.txt           936         3719      found     
graph_27_0.2_6.txt            27          3         found     
graph_231_0.8_6.txt           231         117       found     
graph_311_0.2_3.txt           311         189       found     
graph_280_0.6_3.txt           280         147       found     
graph_868_0.4_6.txt           868         1820      found     
graph_764_0.2_9.txt           764         545       found     
graph_691_0.4_9.txt           691         1139      found     
graph_930_0.2_0.txt           930         1852      found     
graph_845_0.6_1.txt           845         2367      found     
graph_354_0.6_0.txt           354         215       found     
graph_790_1_0.txt             790         2635      found     
graph_335_0.4_1.txt           335         119       found     
graph_110_0.4_3.txt           110         80        found     
graph_789_1_0.txt             789         2667      found     
graph_479_0.8_4.txt           479         296       found     
graph_818_0.6_2.txt           818         2002      found     
graph_738_0.6_4.txt           738         1275      found     
graph_529_0.4_1.txt           529         424       found     
graph_393_0.6_1.txt           393         415       found     
graph_607_0.2_9.txt           607         284       found     
graph_811_0.6_6.txt           811         1988      found     
graph_6_0.8_5.txt             6           0         found     
graph_865_0.8_5.txt           865         2612      found     
graph_346_0.4_5.txt           346         163       found     
graph_530_0.8_8.txt           530         392       found     
graph_87_0.4_1.txt            87          28        found     
graph_131_0.4_5.txt           131         71        found     
graph_471_0.4_4.txt           471         312       found     
graph_780_0.4_0.txt           780         1088      found     
graph_570_0.8_8.txt           570         610       found     
graph_659_0.8_5.txt           659         1393      found     
graph_413_0.2_6.txt           413         175       found     
graph_797_0.8_9.txt           797         2099      found     
graph_15_0.2_4.txt            15          1         found     
graph_188_0.6_4.txt           188         76        found     
graph_478_0.8_7.txt           478         515       found     
graph_322_0.4_6.txt           322         179       found     
graph_471_0.4_5.txt           471         260       found     
graph_255_0.8_1.txt           255         225       found     
graph_508_1_0.txt             508         529       found     
graph_803_0.2_2.txt           803         869       found     
graph_91_0.8_9.txt            91          54        found     
graph_269_0.2_9.txt           269         105       found     
graph_770_0.6_4.txt           770         2221      found     
graph_496_0.8_1.txt           496         678       found     
graph_718_0.6_5.txt           718         1243      found     
graph_849_0.8_1.txt           849         2496      found     
graph_753_0.2_7.txt           753         454       found     
graph_769_0.6_4.txt           769         2026      found     
graph_252_0.6_2.txt           252         252       found     
graph_301_0.2_0.txt           301         155       found     
graph_208_0.2_7.txt           208         176       found     
graph_912_0.6_9.txt           912         3300      found     
graph_928_0.4_0.txt           928         2143      found     
graph_259_0.6_6.txt           259         87        found     
graph_933_0.8_2.txt           933         3217      found     
graph_997_0.4_0.txt           997         2625      found     
