File name                     Graph size  Result
graph_1_0.6_1.txt             1           1                  0
graph_78_0.8_1.txt            78          607            19829
graph_71_0.4_3.txt            71          989            52647
graph_26_0.4_7.txt            26          19               694
graph_42_0.6_0.txt            42          201             6497
graph_13_0.2_3.txt            13          4                 16
graph_18_0.6_2.txt            18          15               192
graph_99_0.4_9.txt            99          2843          202537
graph_53_0.8_2.txt            53          301             4738
graph_12_0.4_4.txt            12          8                 16
graph_50_0.4_0.txt            50          244            12758
graph_3_0.6_4.txt             3           1                  0
graph_27_0.2_6.txt            27          10               273
graph_6_0.8_5.txt             6           4                  2
graph_87_0.4_1.txt            87          1754          120757
graph_15_0.2_4.txt            15          4                 17
graph_91_0.8_9.txt            91          951            44638
graph_95_0.4_4.txt            95          2229          177920
graph_99_0.6_0.txt            99          2777          210669
graph_61_0.4_1.txt            61          529            28586
graph_50_0.6_0.txt            50          357            13849
graph_26_0.2_9.txt            26          12               204
graph_72_0.8_3.txt            72          641            17052
graph_37_0.6_5.txt            37          180             3438
graph_50_0.8_9.txt            50          156             4281
graph_85_0.2_2.txt            85          500            34858
graph_6_0.6_2.txt             6           2                  1
graph_25_0.4_3.txt            25          19               593
graph_6_0.2_8.txt             6           1                  0
graph_46_0.4_9.txt            46          264             9659
graph_74_0.6_6.txt            74          756            63131
graph_57_0.8_3.txt            57          319             7314
graph_29_0.2_2.txt            29          17               467
graph_97_0.8_8.txt            97          1335           49020
graph_7_0.2_1.txt             7           0                  0
graph_75_0.8_1.txt            75          762            20552
graph_62_0.6_8.txt            62          385            30402
graph_89_0.4_6.txt            89          1569          135016
graph_44_0.4_9.txt            44          236             7169
graph_60_0.2_0.txt            60          155             7307
graph_100_0.4_5.txt           100         2602          214360
graph_94_0.2_1.txt            94          894            49956
graph_46_0.6_8.txt            46          294             9756
graph_87_0.6_8.txt            87          1852          127910
graph_9_0.2_1.txt             9           1                  0
graph_72_0.4_5.txt            72          578            56753
graph_74_0.8_7.txt            74          492            18557
