File name                     Graph size  Result
graph_78_0.8_1.txt            78          428801        560963
graph_71_0.4_3.txt            71          2377           33505
graph_26_0.4_7.txt            26          25               349
graph_42_0.6_0.txt            42          1930           19761
graph_18_0.6_2.txt            18          37               592
graph_99_0.4_9.txt            99          26708         124962
graph_53_0.8_2.txt            53          42158         114641
graph_50_0.4_0.txt            50          433             8044
graph_6_0.8_5.txt             6           5                  6
graph_87_0.4_1.txt            87          14871          80921
graph_91_0.8_9.txt            91          1198387      1050172
graph_95_0.4_4.txt            95          33871         129206
graph_99_0.6_0.txt            99          563306        707287
graph_61_0.4_1.txt            61          1704           22325
graph_50_0.6_0.txt            50          5899           37907
graph_26_0.2_9.txt            26          8                 13
graph_72_0.8_3.txt            72          292509        406750
graph_37_0.6_5.txt            37          517            10904
graph_50_0.8_9.txt            50          28133          88966
graph_85_0.2_2.txt            85          193             3367
graph_6_0.6_2.txt             6           1                  0
graph_25_0.4_3.txt            25          24               303
graph_6_0.2_8.txt             6           0                  0
graph_46_0.4_9.txt            46          300             7248
graph_74_0.6_6.txt            74          104190        217753
graph_57_0.8_3.txt            57          73968         159916
graph_29_0.2_2.txt            29          14                57
graph_97_0.8_8.txt            97          1807746      1374974
graph_7_0.2_1.txt             7           1                  0
graph_75_0.8_1.txt            75          364748        480488
graph_62_0.6_8.txt            62          27828         106098
graph_89_0.4_6.txt            89          18801          92909
graph_44_0.4_9.txt            44          310             4958
graph_60_0.2_0.txt            60          104              667
graph_100_0.4_5.txt           100         33680         145638
graph_94_0.2_1.txt            94          320             5525
graph_46_0.6_8.txt            46          2721           28617
graph_87_0.6_8.txt            87          234752        392182
graph_9_0.2_1.txt             9           1                  0
graph_72_0.4_5.txt            72          3509           39996
graph_74_0.8_7.txt            74          359211        450861
graph_84_0.4_4.txt            84          13114          79199
graph_79_0.2_7.txt            79          145             1636
graph_33_0.6_3.txt            33          668             7721
graph_82_0.8_2.txt            82          624452        681104
graph_28_0.4_7.txt            28          42               355
graph_45_0.6_7.txt            45          2441           26540
graph_31_0.8_7.txt            31          928            12245
graph_30_0.6_7.txt            30          179             3947
graph_75_0.4_3.txt            75          6514           52957
graph_56_0.6_8.txt            56          19388          73643
graph_69_0.4_0.txt            69          2186           33615
graph_53_0.2_0.txt            53          85               665
graph_8_0.6_5.txt             8           8                 24
graph_54_0.2_3.txt            54          57               367
graph_97_0.4_0.txt            97          34302         130431
graph_38_0.6_5.txt            38          825            15038
graph_43_0.4_2.txt            43          142             3777
graph_53_0.8_3.txt            53          41826         118466
graph_42_0.6_9.txt            42          1420           18987
graph_69_0.2_0.txt            69          180             1200
graph_46_0.6_3.txt            46          3602           32543
graph_7_0.4_2.txt             7           3                  0
graph_93_0.2_4.txt            93          257             3817
graph_86_0.6_8.txt            86          251243        399690
graph_97_0.2_0.txt            97          354             6083
graph_75_0.8_7.txt            75          355633        473441
graph_81_0.6_7.txt            81          220396        334871
graph_6_0.8_2.txt             6           6                 12
graph_46_0.4_8.txt            46          275             6807
graph_24_0.4_9.txt            24          19               195
graph_70_0.4_9.txt            70          1983           30664
graph_59_0.8_1.txt            59          96270         179558
graph_31_0.8_1.txt            31          984            12668
graph_70_0.6_6.txt            70          69781         173057
graph_29_0.4_9.txt            29          49              1019
graph_7_0.8_9.txt             7           6                 10
graph_99_0.8_5.txt            99          1836099      1463726
graph_75_0.6_6.txt            75          110178        218908
graph_21_0.4_0.txt            21          33               233
graph_82_0.6_1.txt            82          172094        318962
graph_11_0.8_4.txt            11          23               121
graph_9_0.4_1.txt             9           5                  3
graph_92_0.8_6.txt            92          1121104      1102787
graph_82_0.2_6.txt            82          225             2959
graph_5_0.6_3.txt             5           2                  1
graph_37_0.8_0.txt            37          3027           25320
graph_56_0.2_0.txt            56          55               608
graph_62_0.8_5.txt            62          135694        217636
graph_79_0.2_4.txt            79          215             2448
graph_27_0.8_2.txt            27          414             6751
