File name                     Graph size  Result
graph_1_0.6_1.txt             1           1                  0
graph_78_0.8_1.txt            78          451238        424464
graph_71_0.4_3.txt            71          388             3627
graph_26_0.4_7.txt            26          17                26
graph_42_0.6_0.txt            42          465             4438
graph_13_0.2_3.txt            13          7                  0
graph_18_0.6_2.txt            18          42               101
graph_99_0.4_9.txt            99          1152           13493
graph_53_0.8_2.txt            53          32183          69935
graph_12_0.4_4.txt            12          6                  0
graph_50_0.4_0.txt            50          193              897
graph_3_0.6_4.txt             3           2                  0
graph_27_0.2_6.txt            27          13                 1
graph_6_0.8_5.txt             6           7                  2
graph_87_0.4_1.txt            87          678             8957
graph_15_0.2_4.txt            15          6                  0
graph_91_0.8_9.txt            91          1218848       685692
graph_95_0.4_4.txt            95          1267           15246
graph_99_0.6_0.txt            99          64787         175163
graph_61_0.4_1.txt            61          309             2639
graph_50_0.6_0.txt            50          997             8507
graph_26_0.2_9.txt            26          12                 0
graph_72_0.8_3.txt            72          209242        266945
graph_37_0.6_5.txt            37          291             2607
graph_50_0.8_9.txt            50          25200          55856
graph_85_0.2_2.txt            85          104              151
graph_25_1_0.txt              25          2257           12650
graph_6_0.6_2.txt             6           2                  0
graph_25_0.4_3.txt            25          37                37
graph_6_0.2_8.txt             6           2                  0
graph_46_0.4_9.txt            46          179              865
graph_74_0.6_6.txt            74          13653          55108
graph_57_0.8_3.txt            57          54469         106015
graph_29_0.2_2.txt            29          13                 0
graph_97_0.8_8.txt            97          1642815       946851
graph_7_0.2_1.txt             7           2                  0
graph_75_0.8_1.txt            75          305567        322635
graph_62_0.6_8.txt            62          3804           26654
graph_89_0.4_6.txt            89          1017           10600
graph_44_0.4_9.txt            44          97               600
graph_60_0.2_0.txt            60          52                34
graph_100_0.4_5.txt           100         1435           16317
graph_94_0.2_1.txt            94          101              247
graph_46_0.6_8.txt            46          668             6657
graph_87_0.6_8.txt            87          24957          93247
graph_9_0.2_1.txt             9           2                  0
graph_72_0.4_5.txt            72          526             4617
graph_74_0.8_7.txt            74          248772        298401
graph_84_0.4_4.txt            84          693             9152
graph_79_0.2_7.txt            79          70                69
