File name                     Graph size  Result
graph_1_0.6_1.txt             1           0                  1
graph_78_0.8_1.txt            78          186                0
graph_71_0.4_3.txt            71          99                 0
graph_26_0.4_7.txt            26          19                 0
graph_42_0.6_0.txt            42          42                 0
graph_13_0.2_3.txt            13          4                  4
graph_18_0.6_2.txt            18          9                  0
graph_99_0.4_9.txt            99          123                0
graph_53_0.8_2.txt            53          106                0
graph_12_0.4_4.txt            12          5                  1
graph_50_0.4_0.txt            50          39                 0
graph_3_0.6_4.txt             3           0                  3
graph_27_0.2_6.txt            27          10                 1
graph_6_0.8_5.txt             6           5                  3
graph_87_0.4_1.txt            87          150                0
graph_15_0.2_4.txt            15          2                  4
graph_91_0.8_9.txt            91          219                0
graph_95_0.4_4.txt            95          105                0
graph_99_0.6_0.txt            99          224                0
graph_61_0.4_1.txt            61          51                 0
graph_50_0.6_0.txt            50          72                 0
graph_26_0.2_9.txt            26          9                  0
graph_72_0.8_3.txt            72          153                0
graph_37_0.6_5.txt            37          45                 0
graph_50_0.8_9.txt            50          81                 0
graph_85_0.2_2.txt            85          64                 0
graph_25_1_0.txt              25          31                25
graph_6_0.6_2.txt             6           1                  1
graph_25_0.4_3.txt            25          15                 0
graph_6_0.2_8.txt             6           1                  4
graph_46_0.4_9.txt            46          36                 0
graph_74_0.6_6.txt            74          135                0
graph_57_0.8_3.txt            57          91                 0
graph_29_0.2_2.txt            29          11                 0
graph_97_0.8_8.txt            97          303                0
graph_7_0.2_1.txt             7           0                  6
graph_75_0.8_1.txt            75          150                0
graph_62_0.6_8.txt            62          112                0
graph_89_0.4_6.txt            89          83                 0
graph_44_0.4_9.txt            44          38                 0
graph_60_0.2_0.txt            60          19                 0
graph_100_0.4_5.txt           100         128                0
graph_94_0.2_1.txt            94          56                 0
graph_46_0.6_8.txt            46          63                 0
graph_87_0.6_8.txt            87          119                0
graph_9_0.2_1.txt             9           1                  6
graph_72_0.4_5.txt            72          71                 0
graph_74_0.8_7.txt            74          186                0
graph_84_0.4_4.txt            84          97                 0
graph_79_0.2_7.txt            79          56                 0
graph_33_0.6_3.txt            33          47                 0
graph_82_0.8_2.txt            82          271                0
graph_28_0.4_7.txt            28          27                 0
graph_45_0.6_7.txt            45          54                 0
graph_31_0.8_7.txt            31          37                 0
graph_30_0.6_7.txt            30          26                 0
graph_75_0.4_3.txt            75          74                 0
graph_56_0.6_8.txt            56          69                 0
graph_58_1_0.txt              58          111               58
graph_69_0.4_0.txt            69          72                 0
graph_53_0.2_0.txt            53          21                 0
graph_8_0.6_5.txt             8           2                  0
graph_16_1_0.txt              16          30                16
graph_54_0.2_3.txt            54          23                 0
graph_21_0.2_1.txt            21          6                  1
graph_97_0.4_0.txt            97          99                 0
graph_38_0.6_5.txt            38          38                 0
graph_43_0.4_2.txt            43          32                 0
graph_53_0.8_3.txt            53          120                0
graph_42_0.6_9.txt            42          40                 0
graph_69_0.2_0.txt            69          54                 0
graph_46_0.6_3.txt            46          50                 0
graph_7_0.4_2.txt             7           2                  2
graph_93_0.2_4.txt            93          77                 0
graph_86_0.6_8.txt            86          192                0
graph_97_0.2_0.txt            97          65                 0
graph_75_0.8_7.txt            75          138                0
graph_81_0.6_7.txt            81          160                0
graph_6_0.8_2.txt             6           4                  0
graph_46_0.4_8.txt            46          45                 0
graph_24_0.4_9.txt            24          17                 0
graph_15_0.4_7.txt            15          7                  1
graph_70_0.4_9.txt            70          105                0
graph_59_0.8_1.txt            59          94                 0
graph_31_0.8_1.txt            31          33                 0
graph_70_0.6_6.txt            70          124                0
graph_29_0.4_9.txt            29          13                 0
graph_2_0.8_5.txt             2           1                  2
graph_7_0.8_9.txt             7           5                  2
graph_99_0.8_5.txt            99          282                0
graph_75_0.6_6.txt            75          113                0
graph_21_0.4_0.txt            21          18                 0
graph_82_0.6_1.txt            82          198                0
graph_11_0.8_4.txt            11          8                  0
graph_9_0.4_1.txt             9           4                  2
graph_92_0.8_6.txt            92          201                0
graph_82_0.2_6.txt            82          43                 0
graph_7_1_0.txt               7           7                  7
graph_5_0.6_3.txt             5           1                  2
graph_37_0.8_0.txt            37          61                 0
graph_56_0.2_0.txt            56          27                 0
graph_62_0.8_5.txt            62          167                0
graph_79_0.2_4.txt            79          50                 0
graph_27_0.8_2.txt            27          18                 0
graph_84_0.2_0.txt            84          51                 0
graph_40_0.8_3.txt            40          84                 0
graph_32_0.6_2.txt            32          41                 0
graph_19_0.8_3.txt            19          35                 0
graph_49_0.6_9.txt            49          58                 0
graph_92_0.4_5.txt            92          98                 0
graph_51_0.6_7.txt            51          87                 0
graph_44_0.8_6.txt            44          78                 0
graph_20_0.2_7.txt            20          5                  4
graph_45_0.4_3.txt            45          34                 0
graph_60_0.8_7.txt            60          118                0
graph_7_0.6_2.txt             7           4                  0
graph_72_0.2_0.txt            72          27                 0
graph_73_0.8_8.txt            73          143                0
graph_98_0.8_8.txt            98          221                0
graph_74_0.8_2.txt            74          186                0
graph_4_0.2_4.txt             4           1                  3
graph_93_0.6_4.txt            93          133                0
graph_84_0.2_6.txt            84          50                 0
graph_93_0.6_7.txt            93          189                0
graph_30_0.2_8.txt            30          4                  2
graph_90_0.8_9.txt            90          220                0
graph_88_0.6_1.txt            88          137                0
graph_95_0.8_8.txt            95          278                0
graph_36_1_0.txt              36          51                36
graph_60_0.8_4.txt            60          157                0
graph_81_0.4_8.txt            81          108                0
graph_88_0.4_8.txt            88          90                 0
graph_83_0.8_4.txt            83          289                0
graph_46_0.2_3.txt            46          30                 0
graph_12_0.4_6.txt            12          4                  3
graph_14_0.2_5.txt            14          5                  5
graph_21_0.4_2.txt            21          9                  0
graph_56_0.6_2.txt            56          112                0
graph_52_0.8_3.txt            52          63                 0
graph_58_0.8_7.txt            58          92                 0
graph_86_0.6_2.txt            86          169                0
graph_4_0.8_0.txt             4           2                  4
graph_33_0.8_9.txt            33          30                 0
graph_8_0.8_6.txt             8           4                  0
graph_8_0.4_0.txt             8           1                  5
graph_73_0.4_6.txt            73          91                 0
graph_1_0.2_4.txt             1           1                  1
graph_35_0.8_2.txt            35          38                 0
graph_27_0.4_0.txt            27          22                 0
graph_48_0.8_0.txt            48          132                0
graph_22_0.2_1.txt            22          3                  2
graph_26_0.8_8.txt            26          25                 0
graph_11_0.2_5.txt            11          3                  6
graph_27_0.8_1.txt            27          24                 0
graph_19_0.4_2.txt            19          11                 0
graph_40_0.2_0.txt            40          8                  0
graph_89_0.6_3.txt            89          158                0
graph_54_0.8_3.txt            54          79                 0
graph_16_0.4_3.txt            16          8                  0
graph_37_0.2_2.txt            37          8                  1
graph_1_0.2_0.txt             1           1                  1
graph_77_0.6_1.txt            77          160                0
graph_30_0.4_2.txt            30          30                 0
graph_87_0.4_6.txt            87          193                0
graph_10_0.8_4.txt            10          7                  0
graph_19_1_0.txt              19          39                19
graph_7_0.2_3.txt             7           1                  5
graph_79_0.4_6.txt            79          68                 0
graph_100_0.6_2.txt           100         222                0
graph_17_0.6_2.txt            17          18                 0
graph_76_0.4_7.txt            76          95                 0
graph_76_0.8_5.txt            76          162                0
graph_90_0.4_3.txt            90          125                0
graph_30_0.4_7.txt            30          10                 0
graph_6_0.2_5.txt             6           1                  6
graph_25_0.6_1.txt            25          34                 0
graph_58_0.8_9.txt            58          113                0
graph_90_0.6_6.txt            90          220                0
graph_12_0.6_7.txt            12          7                  0
graph_48_0.8_5.txt            48          74                 0
graph_41_0.6_0.txt            41          50                 0
graph_67_0.6_1.txt            67          127                0
graph_46_0.2_7.txt            46          38                 0
graph_6_0.4_8.txt             6           0                  4
graph_78_0.4_6.txt            78          100                0
graph_29_0.2_6.txt            29          11                 0
graph_73_0.6_0.txt            73          119                0
graph_37_0.4_9.txt            37          16                 0
graph_75_0.8_8.txt            75          155                0
graph_67_0.8_9.txt            67          136                0
graph_86_0.2_0.txt            86          66                 0
graph_10_0.6_2.txt            10          7                  0
graph_78_0.2_7.txt            78          57                 0
graph_52_0.6_4.txt            52          79                 0
graph_64_0.4_4.txt            64          57                 0
graph_12_0.8_9.txt            12          10                 0
graph_75_0.4_1.txt            75          82                 0
graph_96_0.2_3.txt            96          76                 0
graph_53_0.4_2.txt            53          49                 0
graph_89_0.8_6.txt            89          258                0
graph_82_0.8_9.txt            82          238                0
graph_4_0.8_8.txt             4           1                  2
graph_35_0.2_5.txt            35          10                 0
graph_45_0.4_0.txt            45          41                 0
graph_33_0.2_7.txt            33          16                 0
graph_99_0.2_0.txt            99          100                0
graph_83_0.6_6.txt            83          136                0
graph_1_0.2_8.txt             1           1                  1
graph_48_0.6_2.txt            48          64                 0
graph_58_0.6_5.txt            58          83                 0
graph_77_0.4_2.txt            77          103                0
graph_41_0.4_3.txt            41          30                 0
graph_70_0.8_0.txt            70          123                0
graph_17_0.8_3.txt            17          33                 0
graph_20_0.2_2.txt            20          7                  1
graph_30_0.2_2.txt            30          11                 0
graph_60_0.8_0.txt            60          86                 0
graph_32_0.8_3.txt            32          38                 0
graph_44_0.6_1.txt            44          62                 0
graph_9_0.6_6.txt             9           4                  1
graph_54_0.4_2.txt            54          36                 0
graph_44_0.4_0.txt            44          39                 0
graph_78_0.4_1.txt            78          76                 0
graph_65_0.2_2.txt            65          36                 0
graph_36_0.2_9.txt            36          11                 0
graph_44_0.4_5.txt            44          42                 0
graph_100_0.8_8.txt           100         279                0
graph_44_0.6_0.txt            44          59                 0
graph_5_0.8_8.txt             5           3                  5
graph_78_0.2_6.txt            78          76                 0
graph_82_0.6_6.txt            82          188                0
graph_2_0.6_0.txt             2           1                  2
graph_37_0.2_5.txt            37          7                  0
graph_36_0.6_9.txt            36          37                 0
graph_24_0.4_2.txt            24          17                 0
graph_1_0.8_9.txt             1           1                  1
graph_21_0.4_4.txt            21          11                 0
graph_57_0.4_2.txt            57          65                 0
graph_89_0.2_5.txt            89          67                 0
graph_76_0.6_1.txt            76          112                0
graph_45_0.2_9.txt            45          19                 0
graph_44_0.4_1.txt            44          42                 0
graph_96_0.4_8.txt            96          138                0
graph_10_0.2_4.txt            10          4                  2
graph_41_0.6_3.txt            41          49                 0
graph_15_0.2_2.txt            15          5                  4
graph_61_0.8_4.txt            61          131                0
graph_25_0.6_6.txt            25          31                 0
graph_71_0.8_7.txt            71          194                0
graph_16_0.8_9.txt            16          14                 0
graph_89_0.6_1.txt            89          116                0
graph_32_0.2_0.txt            32          8                  2
graph_12_0.8_4.txt            12          10                 0
graph_99_0.2_4.txt            99          72                 0
graph_74_0.8_0.txt            74          200                0
graph_39_0.4_8.txt            39          31                 0
graph_48_0.8_8.txt            48          73                 0
graph_13_0.4_2.txt            13          4                  1
graph_8_0.4_3.txt             8           2                  3
graph_1_0.4_0.txt             1           1                  1
graph_62_0.6_1.txt            62          102                0
graph_36_0.4_1.txt            36          22                 0
graph_47_0.2_8.txt            47          14                 0
graph_70_0.8_7.txt            70          220                0
graph_23_0.8_7.txt            23          35                 0
graph_51_0.8_8.txt            51          99                 0
graph_56_0.4_9.txt            56          74                 0
graph_4_0.2_3.txt             4           1                  4
graph_82_0.6_7.txt            82          142                0
graph_52_0.2_7.txt            52          29                 0
graph_27_0.8_8.txt            27          22                 0
graph_69_0.2_3.txt            69          39                 0
graph_69_0.8_9.txt            69          124                0
graph_45_0.8_3.txt            45          80                 0
graph_48_0.2_3.txt            48          32                 0
graph_18_0.6_7.txt            18          18                 0
graph_57_0.2_2.txt            57          38                 0
graph_89_0.2_9.txt            89          42                 0
graph_27_0.4_9.txt            27          18                 0
graph_52_0.8_8.txt            52          98                 0
graph_53_0.4_1.txt            53          53                 0
graph_52_0.8_9.txt            52          97                 0
graph_19_0.2_0.txt            19          6                  0
graph_8_0.8_3.txt             8           5                  1
graph_7_0.2_2.txt             7           1                  4
graph_11_0.8_1.txt            11          8                  0
graph_11_0.2_2.txt            11          0                  7
graph_38_0.6_0.txt            38          41                 0
graph_93_0.8_2.txt            93          293                0
graph_95_1_0.txt              95          474               95
graph_83_0.4_4.txt            83          127                0
graph_15_0.4_8.txt            15          5                  0
graph_57_0.8_6.txt            57          113                0
graph_69_0.8_1.txt            69          180                0
graph_63_0.8_8.txt            63          131                0
graph_61_0.8_7.txt            61          97                 0
graph_77_0.8_9.txt            77          200                0
graph_93_0.6_8.txt            93          207                0
graph_31_0.2_3.txt            31          6                  1
graph_95_0.4_8.txt            95          105                0
graph_26_0.8_2.txt            26          21                 0
graph_13_0.2_5.txt            13          4                  1
graph_42_0.2_5.txt            42          34                 0
graph_44_0.2_8.txt            44          18                 1
graph_79_0.4_9.txt            79          98                 0
graph_81_0.2_7.txt            81          59                 0
graph_99_0.6_3.txt            99          216                0
graph_78_0.4_8.txt            78          96                 0
graph_69_0.8_7.txt            69          133                0
graph_7_0.4_7.txt             7           2                  5
graph_68_0.8_8.txt            68          150                0
graph_79_0.6_5.txt            79          149                0
graph_31_0.2_0.txt            31          10                 0
graph_79_0.2_0.txt            79          54                 0
graph_87_1_0.txt              87          474               87
graph_38_0.2_3.txt            38          35                 0
graph_15_0.8_0.txt            15          17                 0
graph_68_0.8_1.txt            68          128                0
graph_67_1_0.txt              67          229               67
graph_74_0.8_1.txt            74          145                0
graph_9_0.2_3.txt             9           1                  7
graph_62_0.4_9.txt            62          61                 0
graph_55_1_0.txt              55          204               55
graph_37_0.6_8.txt            37          54                 0
graph_14_0.8_8.txt            14          16                 0
graph_10_0.2_5.txt            10          2                  5
graph_68_0.2_2.txt            68          28                 0
graph_47_0.6_0.txt            47          41                 0
graph_64_0.6_1.txt            64          83                 0
graph_63_0.4_9.txt            63          64                 0
graph_59_0.6_1.txt            59          91                 0
graph_25_0.8_5.txt            25          16                 0
graph_73_0.2_8.txt            73          34                 0
graph_59_0.4_3.txt            59          74                 0
graph_78_0.2_4.txt            78          38                 0
graph_5_0.8_3.txt             5           2                  2
graph_83_0.6_3.txt            83          189                0
graph_66_0.8_6.txt            66          135                0
graph_67_0.6_9.txt            67          104                0
graph_74_0.4_3.txt            74          109                0
graph_57_0.6_3.txt            57          61                 0
graph_20_0.4_7.txt            20          10                 0
graph_47_0.8_8.txt            47          67                 0
graph_91_0.6_7.txt            91          154                0
graph_39_0.4_2.txt            39          31                 0
graph_2_0.8_4.txt             2           1                  2
graph_63_0.8_0.txt            63          137                0
graph_28_0.2_4.txt            28          9                  2
graph_71_0.6_4.txt            71          119                0
graph_23_0.2_1.txt            23          8                  0
graph_82_0.8_5.txt            82          199                0
graph_67_0.8_0.txt            67          142                0
graph_30_0.8_8.txt            30          62                 0
graph_1_0.6_0.txt             1           1                  1
graph_56_0.6_7.txt            56          88                 0
graph_40_0.8_0.txt            40          55                 0
graph_24_0.6_8.txt            24          36                 0
graph_33_0.4_7.txt            33          36                 0
graph_30_0.8_2.txt            30          31                 0
graph_41_0.2_7.txt            41          7                  0
graph_85_0.4_0.txt            85          100                0
graph_49_0.8_1.txt            49          84                 0
graph_15_0.4_6.txt            15          8                  0
graph_48_0.4_9.txt            48          36                 0
graph_61_0.6_2.txt            61          130                0
graph_44_0.4_4.txt            44          29                 0
graph_94_0.6_5.txt            94          329                0
graph_1_0.6_7.txt             1           0                  1
graph_43_0.4_4.txt            43          25                 0
graph_87_0.4_7.txt            87          132                0
graph_21_0.6_4.txt            21          27                 0
graph_85_0.6_8.txt            85          136                0
graph_56_0.6_6.txt            56          66                 0
graph_34_0.8_9.txt            34          66                 0
graph_6_0.4_3.txt             6           0                  1
graph_25_0.6_2.txt            25          11                 0
graph_65_1_0.txt              65          207               65
graph_2_0.6_7.txt             2           0                  2
graph_29_0.4_0.txt            29          34                 0
graph_53_0.4_4.txt            53          43                 0
graph_23_0.4_8.txt            23          17                 0
graph_17_0.6_6.txt            17          12                 0
graph_34_0.6_8.txt            34          30                 0
graph_67_0.8_3.txt            67          144                0
