File name                     Graph size  Result
graph_1_0.6_1.txt             1           0                  0
graph_78_0.8_1.txt            78          6741           41335
graph_71_0.4_3.txt            71          156             3525
graph_26_0.4_7.txt            26          12               119
graph_42_0.6_0.txt            42          99              2340
graph_13_0.2_3.txt            13          4                  3
graph_18_0.6_2.txt            18          7                168
graph_99_0.4_9.txt            99          267             9351
graph_53_0.8_2.txt            53          543            11509
graph_12_0.4_4.txt            12          4                  7
graph_50_0.4_0.txt            50          49              1205
graph_3_0.6_4.txt             3           0                  0
graph_27_0.2_6.txt            27          5                 24
graph_6_0.8_5.txt             6           3                  8
graph_87_0.4_1.txt            87          321             6743
graph_15_0.2_4.txt            15          2                  7
graph_91_0.8_9.txt            91          10298          61592
graph_95_0.4_4.txt            95          389             9503
graph_99_0.6_0.txt            99          3130           33941
graph_61_0.4_1.txt            61          136             2572
graph_50_0.6_0.txt            50          150             3790
graph_26_0.2_9.txt            26          8                 18
graph_72_0.8_3.txt            72          2965           30440
graph_37_0.6_5.txt            37          100             1543
graph_50_0.8_9.txt            50          486             9646
graph_85_0.2_2.txt            85          137              838
graph_25_1_0.txt              25          115             2300
graph_6_0.6_2.txt             6           1                  0
graph_25_0.4_3.txt            25          24               123
graph_6_0.2_8.txt             6           1                  0
graph_46_0.4_9.txt            46          65              1095
graph_74_0.6_6.txt            74          744            14192
graph_57_0.8_3.txt            57          797            15234
graph_29_0.2_2.txt            29          18                38
graph_97_0.8_8.txt            97          14651          77185
graph_7_0.2_1.txt             7           1                  0
graph_75_0.8_1.txt            75          5022           34805
graph_62_0.6_8.txt            62          359             8301
graph_89_0.4_6.txt            89          264             7454
graph_44_0.4_9.txt            44          63               855
graph_60_0.2_0.txt            60          54               267
graph_100_0.4_5.txt           100         355            10438
graph_94_0.2_1.txt            94          134             1182
graph_46_0.6_8.txt            46          161             3084
graph_87_0.6_8.txt            87          1578           21728
graph_9_0.2_1.txt             9           0                  0
graph_72_0.4_5.txt            72          137             3961
graph_74_0.8_7.txt            74          4474           33013
graph_84_0.4_4.txt            84          177             6567
graph_79_0.2_7.txt            79          67               535
graph_33_0.6_3.txt            33          83              1195
graph_82_0.8_2.txt            82          6688           44242
graph_28_0.4_7.txt            28          9                123
graph_45_0.6_7.txt            45          150             2999
graph_31_0.8_7.txt            31          76              2181
graph_30_0.6_7.txt            30          52               701
graph_75_0.4_3.txt            75          284             4817
graph_56_0.6_8.txt            56          268             6298
graph_58_1_0.txt              58          6126           30856
graph_69_0.4_0.txt            69          132             3487
graph_53_0.2_0.txt            53          37               235
graph_8_0.6_5.txt             8           6                 21
graph_16_1_0.txt              16          28               560
graph_54_0.2_3.txt            54          19               169
graph_21_0.2_1.txt            21          3                  8
graph_97_0.4_0.txt            97          391             9545
graph_38_0.6_5.txt            38          47              1929
graph_43_0.4_2.txt            43          65               709
graph_53_0.8_3.txt            53          634            13136
graph_42_0.6_9.txt            42          85              2265
graph_69_0.2_0.txt            69          46               397
graph_46_0.6_3.txt            46          129             3518
graph_7_0.4_2.txt             7           2                  2
graph_93_0.2_4.txt            93          69               939
graph_86_0.6_8.txt            86          1736           22181
graph_97_0.2_0.txt            97          94              1285
graph_75_0.8_7.txt            75          4533           34018
graph_81_0.6_7.txt            81          1448           19622
graph_6_0.8_2.txt             6           1                  8
graph_46_0.4_8.txt            46          80              1062
graph_24_0.4_9.txt            24          9                 91
graph_15_0.4_7.txt            15          7                 18
graph_70_0.4_9.txt            70          211             3282
graph_59_0.8_1.txt            59          741            16485
graph_31_0.8_1.txt            31          67              2287
graph_70_0.6_6.txt            70          436            11942
graph_29_0.4_9.txt            29          11               262
graph_2_0.8_5.txt             2           1                  0
graph_7_0.8_9.txt             7           6                 30
graph_99_0.8_5.txt            99          16939          77432
graph_75_0.6_6.txt            75          627            14198
graph_21_0.4_0.txt            21          17                89
graph_82_0.6_1.txt            82          860            18744
graph_11_0.8_4.txt            11          12                97
graph_9_0.4_1.txt             9           3                  5
graph_92_0.8_6.txt            92          13242          65668
graph_82_0.2_6.txt            82          76               731
graph_7_1_0.txt               7           20                35
graph_5_0.6_3.txt             5           1                  2
graph_37_0.8_0.txt            37          150             3857
graph_56_0.2_0.txt            56          78               241
graph_62_0.8_5.txt            62          1411           18935
graph_79_0.2_4.txt            79          116              664
graph_27_0.8_2.txt            27          51              1373
graph_84_0.2_0.txt            84          84               778
graph_40_0.8_3.txt            40          220             5395
graph_32_0.6_2.txt            32          65              1232
graph_19_0.8_3.txt            19          36               559
graph_49_0.6_9.txt            49          241             4116
graph_92_0.4_5.txt            92          286             8273
graph_51_0.6_7.txt            51          113             4124
graph_44_0.8_6.txt            44          309             6520
graph_20_0.2_7.txt            20          5                  2
graph_45_0.4_3.txt            45          48               951
graph_60_0.8_7.txt            60          1207           17642
graph_7_0.6_2.txt             7           2                  6
graph_72_0.2_0.txt            72          105              674
graph_73_0.8_8.txt            73          4069           32822
graph_98_0.8_8.txt            98          16736          76475
graph_74_0.8_2.txt            74          4901           33870
graph_4_0.2_4.txt             4           1                  0
graph_93_0.6_4.txt            93          1441           27168
graph_84_0.2_6.txt            84          71               924
graph_93_0.6_7.txt            93          1662           27557
graph_30_0.2_8.txt            30          14                39
graph_90_0.8_9.txt            90          12644          59552
graph_88_0.6_1.txt            88          1418           21804
graph_95_0.8_8.txt            95          14577          69219
graph_36_1_0.txt              36          281             7140
graph_60_0.8_4.txt            60          2120           18858
graph_81_0.4_8.txt            81          279             5041
graph_88_0.4_8.txt            88          345             7241
graph_83_0.8_4.txt            83          7926           47258
graph_46_0.2_3.txt            46          11                74
graph_12_0.4_6.txt            12          4                  5
graph_14_0.2_5.txt            14          5                  8
graph_21_0.4_2.txt            21          5                 62
graph_56_0.6_2.txt            56          309             6162
graph_52_0.8_3.txt            52          886            11702
graph_58_0.8_7.txt            58          1095           15015
graph_86_0.6_2.txt            86          1284           20328
graph_4_0.8_0.txt             4           1                  4
graph_33_0.8_9.txt            33          118             2638
graph_8_0.8_6.txt             8           6                 21
graph_8_0.4_0.txt             8           2                  1
graph_73_0.4_6.txt            73          197             4049
graph_1_0.2_4.txt             1           1                  0
graph_35_0.8_2.txt            35          144             3071
graph_27_0.4_0.txt            27          22               249
graph_48_0.8_0.txt            48          411             9358
graph_22_0.2_1.txt            22          4                  8
graph_26_0.8_8.txt            26          131             1433
graph_11_0.2_5.txt            11          3                  2
graph_27_0.8_1.txt            27          78              1421
graph_19_0.4_2.txt            19          13                82
graph_40_0.2_0.txt            40          35                61
graph_89_0.6_3.txt            89          1450           25298
graph_54_0.8_3.txt            54          747            12313
graph_16_0.4_3.txt            16          4                 35
graph_37_0.2_2.txt            37          7                 50
graph_1_0.2_0.txt             1           1                  0
graph_77_0.6_1.txt            77          957            16982
graph_30_0.4_2.txt            30          21               295
graph_87_0.4_6.txt            87          528             7694
graph_10_0.8_4.txt            10          8                 38
graph_19_1_0.txt              19          38               969
graph_7_0.2_3.txt             7           1                  1
graph_79_0.4_6.txt            79          261             5043
graph_100_0.6_2.txt           100         3600           36055
graph_17_0.6_2.txt            17          9                189
graph_76_0.4_7.txt            76          267             4484
graph_76_0.8_5.txt            76          6264           37409
graph_90_0.4_3.txt            90          330             7480
graph_30_0.4_7.txt            30          13               250
graph_6_0.2_5.txt             6           1                  0
graph_25_0.6_1.txt            25          39               594
graph_58_0.8_9.txt            58          670            15147
