File name                     Graph size  Result
graph_1_0.6_1.txt             1           1                  0
graph_78_0.8_1.txt            78          423            19829
graph_71_0.4_3.txt            71          197            52647
graph_26_0.4_7.txt            26          23               694
graph_42_0.6_0.txt            42          81              6497
graph_13_0.2_3.txt            13          4                 16
graph_18_0.6_2.txt            18          15               192
graph_99_0.4_9.txt            99          658           202537
graph_53_0.8_2.txt            53          165             4738
graph_12_0.4_4.txt            12          4                 16
graph_50_0.4_0.txt            50          66             12758
graph_3_0.6_4.txt             3           1                  0
graph_27_0.2_6.txt            27          11               273
graph_6_0.8_5.txt             6           5                  2
graph_87_0.4_1.txt            87          432           120757
graph_15_0.2_4.txt            15          5                 17
graph_91_0.8_9.txt            91          529            44638
graph_95_0.4_4.txt            95          606           177920
graph_99_0.6_0.txt            99          1377          210669
graph_61_0.4_1.txt            61          150            28586
graph_50_0.6_0.txt            50          129            13849
graph_26_0.2_9.txt            26          11               204
graph_72_0.8_3.txt            72          409            17052
graph_37_0.6_5.txt            37          74              3438
graph_50_0.8_9.txt            50          132             4281
graph_85_0.2_2.txt            85          213            34858
graph_6_0.6_2.txt             6           3                  1
graph_25_0.4_3.txt            25          24               593
graph_6_0.2_8.txt             6           0                  0
graph_46_0.4_9.txt            46          101             9659
graph_74_0.6_6.txt            74          300            63131
graph_57_0.8_3.txt            57          134             7314
graph_29_0.2_2.txt            29          18               467
graph_97_0.8_8.txt            97          752            49020
graph_7_0.2_1.txt             7           0                  0
graph_75_0.8_1.txt            75          400            20552
graph_62_0.6_8.txt            62          148            30402
graph_89_0.4_6.txt            89          634           135016
graph_44_0.4_9.txt            44          55              7169
graph_60_0.2_0.txt            60          122             7307
graph_100_0.4_5.txt           100         760           214360
graph_94_0.2_1.txt            94          225            49956
graph_46_0.6_8.txt            46          74              9756
graph_87_0.6_8.txt            87          776           127910
graph_9_0.2_1.txt             9           1                  0
graph_72_0.4_5.txt            72          217            56753
graph_74_0.8_7.txt            74          447            18557
graph_84_0.4_4.txt            84          641           109020
graph_79_0.2_7.txt            79          147            22657
graph_33_0.6_3.txt            33          63              2186
graph_82_0.8_2.txt            82          587            30573
graph_28_0.4_7.txt            28          22               929
graph_45_0.6_7.txt            45          71              8130
graph_31_0.8_7.txt            31          84               508
graph_30_0.6_7.txt            30          84              1613
graph_75_0.4_3.txt            75          512            71568
graph_56_0.6_8.txt            56          216            20217
graph_69_0.4_0.txt            69          224            47777
graph_53_0.2_0.txt            53          37              5867
graph_8_0.6_5.txt             8           6                  0
graph_54_0.2_3.txt            54          66              4404
graph_21_0.2_1.txt            21          7                 58
graph_97_0.4_0.txt            97          384           192629
graph_38_0.6_5.txt            38          83              4269
graph_43_0.4_2.txt            43          77              6612
graph_53_0.8_3.txt            53          154             3660
graph_42_0.6_9.txt            42          127             6672
graph_69_0.2_0.txt            69          120            13107
graph_46_0.6_3.txt            46          112             8335
graph_7_0.4_2.txt             7           5                  0
graph_93_0.2_4.txt            93          340            41113
graph_86_0.6_8.txt            86          630           119155
graph_97_0.2_0.txt            97          227            61572
graph_75_0.8_7.txt            75          489            21634
graph_81_0.6_7.txt            81          460            88036
graph_6_0.8_2.txt             6           3                  0
graph_46_0.4_8.txt            46          49              9379
graph_24_0.4_9.txt            24          19               485
graph_15_0.4_7.txt            15          7                 69
graph_70_0.4_9.txt            70          252            50261
graph_59_0.8_1.txt            59          154             8139
graph_31_0.8_1.txt            31          42               536
graph_70_0.6_6.txt            70          315            50255
graph_29_0.4_9.txt            29          50              1341
graph_2_0.8_5.txt             2           0                  0
graph_7_0.8_9.txt             7           4                  0
graph_99_0.8_5.txt            99          803            69181
graph_75_0.6_6.txt            75          449            66095
graph_21_0.4_0.txt            21          11               390
graph_82_0.6_1.txt            82          507            96760
graph_11_0.8_4.txt            11          14                 0
graph_9_0.4_1.txt             9           9                  2
graph_92_0.8_6.txt            92          648            43987
graph_82_0.2_6.txt            82          238            28866
graph_5_0.6_3.txt             5           3                  0
graph_37_0.8_0.txt            37          123             1050
graph_56_0.2_0.txt            56          88              6455
graph_62_0.8_5.txt            62          192             9412
graph_79_0.2_4.txt            79          124            25930
graph_27_0.8_2.txt            27          59               433
graph_84_0.2_0.txt            84          129            31873
graph_40_0.8_3.txt            40          119             1278
graph_32_0.6_2.txt            32          63              1890
graph_19_0.8_3.txt            19          29                25
graph_49_0.6_9.txt            49          89             10658
graph_92_0.4_5.txt            92          584           153828
graph_51_0.6_7.txt            51          134            13948
graph_44_0.8_6.txt            44          105             2806
graph_20_0.2_7.txt            20          8                 59
graph_45_0.4_3.txt            45          53              7841
graph_60_0.8_7.txt            60          229             8429
graph_7_0.6_2.txt             7           5                  2
graph_72_0.2_0.txt            72          88             21979
graph_73_0.8_8.txt            73          547            15930
graph_98_0.8_8.txt            98          949            63694
