File name                     Graph size  Result
graph_1_0.6_1.txt             1           1                  0
graph_78_0.8_1.txt            78          411921        560963
graph_71_0.4_3.txt            71          3045           33505
graph_26_0.4_7.txt            26          62               349
graph_42_0.6_0.txt            42          2046           19761
graph_13_0.2_3.txt            13          7                  1
graph_18_0.6_2.txt            18          123              592
graph_99_0.4_9.txt            99          26649         124962
graph_53_0.8_2.txt            53          39908         114641
graph_12_0.4_4.txt            12          9                  5
graph_50_0.4_0.txt            50          526             8044
graph_3_0.6_4.txt             3           1                  0
graph_27_0.2_6.txt            27          19                30
graph_6_0.8_5.txt             6           8                  6
graph_87_0.4_1.txt            87          11049          80921
graph_15_0.2_4.txt            15          5                  4
graph_91_0.8_9.txt            91          1037580      1050172
graph_95_0.4_4.txt            95          29302         129206
graph_99_0.6_0.txt            99          547446        707287
graph_61_0.4_1.txt            61          2416           22325
graph_50_0.6_0.txt            50          5062           37907
graph_26_0.2_9.txt            26          12                13
graph_72_0.8_3.txt            72          296878        406750
graph_37_0.6_5.txt            37          742            10904
graph_50_0.8_9.txt            50          26401          88966
graph_85_0.2_2.txt            85          273             3367
graph_6_0.6_2.txt             6           3                  0
graph_25_0.4_3.txt            25          22               303
graph_6_0.2_8.txt             6           2                  0
graph_46_0.4_9.txt            46          364             7248
graph_74_0.6_6.txt            74          93941         217753
graph_57_0.8_3.txt            57          71177         159916
graph_29_0.2_2.txt            29          16                57
graph_97_0.8_8.txt            97          1779023      1374974
graph_7_0.2_1.txt             7           1                  0
graph_75_0.8_1.txt            75          375786        480488
graph_62_0.6_8.txt            62          27822         106098
graph_89_0.4_6.txt            89          14458          92909
graph_44_0.4_9.txt            44          242             4958
graph_60_0.2_0.txt            60          52               667
graph_100_0.4_5.txt           100         31554         145638
graph_94_0.2_1.txt            94          250             5525
graph_46_0.6_8.txt            46          3318           28617
graph_87_0.6_8.txt            87          241614        392182
graph_9_0.2_1.txt             9           2                  0
graph_72_0.4_5.txt            72          3235           39996
graph_74_0.8_7.txt            74          322099        450861
graph_84_0.4_4.txt            84          12161          79199
graph_79_0.2_7.txt            79          241             1636
graph_33_0.6_3.txt            33          535             7721
graph_82_0.8_2.txt            82          587412        681104
graph_28_0.4_7.txt            28          21               355
graph_45_0.6_7.txt            45          2807           26540
