File name                     Graph size  Result
graph_1_0.6_1.txt             1           2                  0
graph_78_0.8_1.txt            78          542552        424464
graph_71_0.4_3.txt            71          232             3627
graph_26_0.4_7.txt            26          30                26
graph_42_0.6_0.txt            42          151             4438
graph_13_0.2_3.txt            13          9                  0
graph_18_0.6_2.txt            18          26               101
graph_99_0.4_9.txt            99          931            13493
graph_53_0.8_2.txt            53          28681          69935
graph_12_0.4_4.txt            12          9                  0
graph_50_0.4_0.txt            50          180              897
graph_3_0.6_4.txt             3           3                  0
graph_27_0.2_6.txt            27          16                 1
graph_6_0.8_5.txt             6           7                  2
graph_87_0.4_1.txt            87          597             8957
graph_15_0.2_4.txt            15          9                  0
graph_91_0.8_9.txt            91          1063977       685692
graph_95_0.4_4.txt            95          952            15246
graph_99_0.6_0.txt            99          53024         175163
graph_61_0.4_1.txt            61          193             2639
graph_50_0.6_0.txt            50          348             8507
graph_26_0.2_9.txt            26          14                 0
graph_72_0.8_3.txt            72          283866        266945
graph_37_0.6_5.txt            37          197             2607
graph_50_0.8_9.txt            50          21779          55856
graph_85_0.2_2.txt            85          106              151
graph_25_1_0.txt              25          1603           12650
graph_6_0.6_2.txt             6           4                  0
graph_25_0.4_3.txt            25          25                37
graph_6_0.2_8.txt             6           4                  0
graph_46_0.4_9.txt            46          88               865
graph_74_0.6_6.txt            74          5023           55108
graph_57_0.8_3.txt            57          59843         106015
graph_29_0.2_2.txt            29          19                 0
graph_97_0.8_8.txt            97          1682464       946851
graph_7_0.2_1.txt             7           3                  0
graph_75_0.8_1.txt            75          352335        322635
graph_62_0.6_8.txt            62          1288           26654
graph_89_0.4_6.txt            89          606            10600
graph_44_0.4_9.txt            44          61               600
graph_60_0.2_0.txt            60          49                34
graph_100_0.4_5.txt           100         1274           16317
graph_94_0.2_1.txt            94          87               247
graph_46_0.6_8.txt            46          322             6657
graph_87_0.6_8.txt            87          12908          93247
graph_9_0.2_1.txt             9           4                  0
graph_72_0.4_5.txt            72          292             4617
graph_74_0.8_7.txt            74          339754        298401
graph_84_0.4_4.txt            84          466             9152
graph_79_0.2_7.txt            79          46                69
graph_33_0.6_3.txt            33          104             1966
graph_82_0.8_2.txt            82          550339        436595
graph_28_0.4_7.txt            28          32                23
graph_45_0.6_7.txt            45          288             6865
graph_31_0.8_7.txt            31          768             7319
graph_30_0.6_7.txt            30          36               759
graph_75_0.4_3.txt            75          245             6188
graph_56_0.6_8.txt            56          1243           18404
graph_58_1_0.txt              58          735217        424270
graph_69_0.4_0.txt            69          364             3855
graph_53_0.2_0.txt            53          57                28
graph_8_0.6_5.txt             8           11                 8
graph_16_1_0.txt              16          145             1820
graph_54_0.2_3.txt            54          24                17
graph_21_0.2_1.txt            21          6                  0
graph_97_0.4_0.txt            97          934            14516
graph_38_0.6_5.txt            38          220             3750
graph_43_0.4_2.txt            43          69               390
graph_53_0.8_3.txt            53          53612          91735
graph_42_0.6_9.txt            42          323             4319
graph_69_0.2_0.txt            69          78                42
graph_46_0.6_3.txt            46          301             8833
graph_7_0.4_2.txt             7           7                  0
graph_93_0.2_4.txt            93          201              155
graph_86_0.6_8.txt            86          19098          99318
graph_97_0.2_0.txt            97          148              244
graph_75_0.8_7.txt            75          359414        309378
graph_81_0.6_7.txt            81          16742          86810
graph_6_0.8_2.txt             6           9                  0
graph_46_0.4_8.txt            46          122              775
graph_24_0.4_9.txt            24          13                22
graph_15_0.4_7.txt            15          11                 0
graph_70_0.4_9.txt            70          272             3271
graph_59_0.8_1.txt            59          61457         116706
graph_31_0.8_1.txt            31          1262            8017
graph_70_0.6_6.txt            70          4029           43304
graph_29_0.4_9.txt            29          31               124
graph_2_0.8_5.txt             2           2                  0
graph_7_0.8_9.txt             7           10                25
graph_99_0.8_5.txt            99          1532996       916169
graph_75_0.6_6.txt            75          6147           53457
graph_21_0.4_0.txt            21          13                25
graph_82_0.6_1.txt            82          8127           77738
graph_11_0.8_4.txt            11          35               116
graph_9_0.4_1.txt             9           7                  0
graph_92_0.8_6.txt            92          1203074       765507
graph_82_0.2_6.txt            82          78               146
graph_7_1_0.txt               7           18                35
graph_5_0.6_3.txt             5           4                  0
graph_37_0.8_0.txt            37          2705           16344
graph_56_0.2_0.txt            56          34                32
graph_62_0.8_5.txt            62          107386        139643
graph_79_0.2_4.txt            79          80                87
graph_27_0.8_2.txt            27          205             3843
graph_84_0.2_0.txt            84          117              135
graph_40_0.8_3.txt            40          5936           27285
graph_32_0.6_2.txt            32          84              2189
graph_19_0.8_3.txt            19          212             1252
graph_49_0.6_9.txt            49          490            10698
graph_92_0.4_5.txt            92          723            12225
graph_51_0.6_7.txt            51          473             9853
graph_44_0.8_6.txt            44          8065           32947
graph_20_0.2_7.txt            20          8                  0
graph_45_0.4_3.txt            45          96               692
graph_60_0.8_7.txt            60          87962         129372
graph_7_0.6_2.txt             7           7                  0
graph_72_0.2_0.txt            72          93               145
graph_73_0.8_8.txt            73          362102        302866
graph_98_0.8_8.txt            98          1576295       916255
graph_74_0.8_2.txt            74          361312        314054
graph_4_0.2_4.txt             4           3                  0
graph_93_0.6_4.txt            93          23603         128249
graph_84_0.2_6.txt            84          102              174
graph_93_0.6_7.txt            93          27421         131885
graph_30_0.2_8.txt            30          9                  4
graph_90_0.8_9.txt            90          977346        653418
graph_88_0.6_1.txt            88          12388          91222
graph_95_0.8_8.txt            95          1235872       794804
graph_36_1_0.txt              36          36478          58905
graph_60_0.8_4.txt            60          116413        147983
graph_81_0.4_8.txt            81          373             5657
graph_88_0.4_8.txt            88          597            10024
graph_83_0.8_4.txt            83          650813        485715
graph_46_0.2_3.txt            46          42                 3
graph_12_0.4_6.txt            12          8                  0
graph_14_0.2_5.txt            14          8                  0
graph_21_0.4_2.txt            21          11                 9
graph_56_0.6_2.txt            56          988            18321
graph_52_0.8_3.txt            52          33505          75400
graph_58_0.8_7.txt            58          52254          99476
graph_86_0.6_2.txt            86          8740           83097
graph_4_0.8_0.txt             4           7                  1
graph_33_0.8_9.txt            33          1075            9569
graph_8_0.8_6.txt             8           12                 7
graph_8_0.4_0.txt             8           4                  0
graph_73_0.4_6.txt            73          323             4604
graph_1_0.2_4.txt             1           3                  0
graph_35_0.8_2.txt            35          1266           11555
graph_27_0.4_0.txt            27          23               136
graph_48_0.8_0.txt            48          25059          56970
