File name                     Graph size  Result
graph_1_0.6_1.txt             1           2                  0
graph_78_0.8_1.txt            78          53                 0
graph_71_0.4_3.txt            71          6                  0
graph_26_0.4_7.txt            26          7                  3
graph_42_0.6_0.txt            42          14                 0
graph_13_0.2_3.txt            13          3                  5
graph_18_0.6_2.txt            18          5                  0
graph_99_0.4_9.txt            99          31                 0
graph_53_0.8_2.txt            53          48                 0
graph_12_0.4_4.txt            12          7                  4
graph_50_0.4_0.txt            50          8                  0
graph_3_0.6_4.txt             3           1                  2
graph_27_0.2_6.txt            27          5                  3
graph_6_0.8_5.txt             6           3                  6
graph_87_0.4_1.txt            87          25                 0
graph_15_0.2_4.txt            15          4                  6
graph_91_0.8_9.txt            91          73                 0
graph_95_0.4_4.txt            95          35                 0
graph_99_0.6_0.txt            99          75                 0
graph_61_0.4_1.txt            61          10                 0
graph_50_0.6_0.txt            50          31                 0
graph_26_0.2_9.txt            26          5                  3
graph_72_0.8_3.txt            72          61                 0
graph_37_0.6_5.txt            37          12                 0
graph_50_0.8_9.txt            50          36                 0
graph_85_0.2_2.txt            85          27                 1
graph_25_1_0.txt              25          14                25
graph_6_0.6_2.txt             6           1                  2
graph_25_0.4_3.txt            25          5                  0
graph_6_0.2_8.txt             6           2                  4
graph_46_0.4_9.txt            46          9                  0
graph_74_0.6_6.txt            74          39                 0
graph_57_0.8_3.txt            57          42                 0
graph_29_0.2_2.txt            29          6                  2
graph_97_0.8_8.txt            97          144                0
graph_7_0.2_1.txt             7           1                  5
graph_75_0.8_1.txt            75          46                 0
graph_62_0.6_8.txt            62          31                 0
graph_89_0.4_6.txt            89          20                 0
graph_44_0.4_9.txt            44          9                  0
graph_60_0.2_0.txt            60          4                  0
graph_100_0.4_5.txt           100         18                 1
graph_94_0.2_1.txt            94          6                  0
graph_46_0.6_8.txt            46          26                 0
graph_87_0.6_8.txt            87          69                 0
graph_9_0.2_1.txt             9           2                  4
graph_72_0.4_5.txt            72          24                 0
graph_74_0.8_7.txt            74          67                 0
graph_84_0.4_4.txt            84          22                 0
graph_79_0.2_7.txt            79          8                  1
graph_33_0.6_3.txt            33          14                 0
graph_82_0.8_2.txt            82          58                 0
graph_28_0.4_7.txt            28          3                  0
graph_45_0.6_7.txt            45          8                  0
graph_31_0.8_7.txt            31          16                 0
graph_30_0.6_7.txt            30          10                 0
graph_75_0.4_3.txt            75          17                 0
graph_56_0.6_8.txt            56          39                 0
graph_58_1_0.txt              58          55                58
graph_69_0.4_0.txt            69          15                 0
graph_53_0.2_0.txt            53          8                  0
graph_8_0.6_5.txt             8           5                  0
graph_16_1_0.txt              16          9                 16
graph_54_0.2_3.txt            54          7                  2
graph_21_0.2_1.txt            21          4                  2
graph_97_0.4_0.txt            97          31                 0
graph_38_0.6_5.txt            38          12                 0
graph_43_0.4_2.txt            43          9                  0
graph_53_0.8_3.txt            53          31                 0
graph_42_0.6_9.txt            42          12                 0
graph_69_0.2_0.txt            69          5                  0
graph_46_0.6_3.txt            46          12                 0
