File name                     Graph size  Result
graph_1_0.6_1.txt             1           1                  0
graph_78_0.8_1.txt            78          47             41335
graph_71_0.4_3.txt            71          25              3525
graph_26_0.4_7.txt            26          5                119
graph_42_0.6_0.txt            42          10              2340
graph_13_0.2_3.txt            13          5                  3
graph_18_0.6_2.txt            18          10               168
graph_99_0.4_9.txt            99          151             9351
graph_53_0.8_2.txt            53          30             11509
graph_12_0.4_4.txt            12          5                  7
graph_50_0.4_0.txt            50          8               1205
graph_3_0.6_4.txt             3           5                  0
graph_27_0.2_6.txt            27          9                 24
graph_6_0.8_5.txt             6           5                  8
graph_87_0.4_1.txt            87          36              6743
graph_15_0.2_4.txt            15          2                  7
graph_91_0.8_9.txt            91          130            61592
graph_95_0.4_4.txt            95          44              9503
graph_99_0.6_0.txt            99          116            33941
graph_61_0.4_1.txt            61          16              2572
graph_50_0.6_0.txt            50          27              3790
graph_26_0.2_9.txt            26          7                 18
graph_72_0.8_3.txt            72          64             30440
graph_37_0.6_5.txt            37          10              1543
graph_50_0.8_9.txt            50          24              9646
graph_85_0.2_2.txt            85          10               838
graph_25_1_0.txt              25          21              2300
graph_6_0.6_2.txt             6           1                  0
graph_25_0.4_3.txt            25          4                123
graph_6_0.2_8.txt             6           2                  0
graph_46_0.4_9.txt            46          8               1095
graph_74_0.6_6.txt            74          36             14192
graph_57_0.8_3.txt            57          25             15234
graph_29_0.2_2.txt            29          5                 38
graph_97_0.8_8.txt            97          152            77185
graph_7_0.2_1.txt             7           6                  0
graph_75_0.8_1.txt            75          56             34805
graph_62_0.6_8.txt            62          30              8301
graph_89_0.4_6.txt            89          74              7454
graph_44_0.4_9.txt            44          16               855
graph_60_0.2_0.txt            60          14               267
graph_100_0.4_5.txt           100         46             10438
graph_94_0.2_1.txt            94          15              1182
graph_46_0.6_8.txt            46          19              3084
graph_87_0.6_8.txt            87          75             21728
graph_9_0.2_1.txt             9           4                  0
graph_72_0.4_5.txt            72          56              3961
graph_74_0.8_7.txt            74          41             33013
graph_84_0.4_4.txt            84          30              6567
graph_79_0.2_7.txt            79          32               535
graph_33_0.6_3.txt            33          22              1195
graph_82_0.8_2.txt            82          80             44242
graph_28_0.4_7.txt            28          7                123
graph_45_0.6_7.txt            45          29              2999
graph_31_0.8_7.txt            31          21              2181
graph_30_0.6_7.txt            30          10               701
graph_75_0.4_3.txt            75          33              4817
graph_56_0.6_8.txt            56          23              6298
graph_58_1_0.txt              58          39             30856
graph_69_0.4_0.txt            69          13              3487
graph_53_0.2_0.txt            53          11               235
graph_8_0.6_5.txt             8           2                 21
graph_16_1_0.txt              16          11               560
graph_54_0.2_3.txt            54          13               169
graph_21_0.2_1.txt            21          5                  8
graph_97_0.4_0.txt            97          28              9545
graph_38_0.6_5.txt            38          27              1929
graph_43_0.4_2.txt            43          26               709
graph_53_0.8_3.txt            53          33             13136
graph_42_0.6_9.txt            42          14              2265
graph_69_0.2_0.txt            69          15               397
graph_46_0.6_3.txt            46          12              3518
graph_7_0.4_2.txt             7           2                  2
graph_93_0.2_4.txt            93          46               939
graph_86_0.6_8.txt            86          68             22181
graph_97_0.2_0.txt            97          22              1285
graph_75_0.8_7.txt            75          60             34018
graph_81_0.6_7.txt            81          41             19622
graph_6_0.8_2.txt             6           2                  8
graph_46_0.4_8.txt            46          16              1062
graph_24_0.4_9.txt            24          9                 91
graph_15_0.4_7.txt            15          6                 18
graph_70_0.4_9.txt            70          29              3282
graph_59_0.8_1.txt            59          43             16485
graph_31_0.8_1.txt            31          10              2287
graph_70_0.6_6.txt            70          66             11942
graph_29_0.4_9.txt            29          9                262
graph_2_0.8_5.txt             2           1                  0
graph_7_0.8_9.txt             7           3                 30
graph_99_0.8_5.txt            99          88             77432
graph_75_0.6_6.txt            75          40             14198
graph_21_0.4_0.txt            21          9                 89
graph_82_0.6_1.txt            82          42             18744
graph_11_0.8_4.txt            11          8                 97
graph_9_0.4_1.txt             9           5                  5
graph_92_0.8_6.txt            92          87             65668
graph_82_0.2_6.txt            82          39               731
graph_7_1_0.txt               7           3                 35
graph_5_0.6_3.txt             5           4                  2
graph_37_0.8_0.txt            37          21              3857
graph_56_0.2_0.txt            56          31               241
graph_62_0.8_5.txt            62          29             18935
graph_79_0.2_4.txt            79          19               664
graph_27_0.8_2.txt            27          25              1373
graph_84_0.2_0.txt            84          21               778
graph_40_0.8_3.txt            40          32              5395
graph_32_0.6_2.txt            32          6               1232
graph_19_0.8_3.txt            19          5                559
graph_49_0.6_9.txt            49          14              4116
graph_92_0.4_5.txt            92          81              8273
graph_51_0.6_7.txt            51          28              4124
graph_44_0.8_6.txt            44          15              6520
graph_20_0.2_7.txt            20          6                  2
graph_45_0.4_3.txt            45          13               951
graph_60_0.8_7.txt            60          38             17642
graph_7_0.6_2.txt             7           1                  6
graph_72_0.2_0.txt            72          28               674
graph_73_0.8_8.txt            73          73             32822
graph_98_0.8_8.txt            98          59             76475
graph_74_0.8_2.txt            74          63             33870
graph_4_0.2_4.txt             4           2                  0
graph_93_0.6_4.txt            93          104            27168
graph_84_0.2_6.txt            84          59               924
graph_93_0.6_7.txt            93          71             27557
graph_30_0.2_8.txt            30          4                 39
graph_90_0.8_9.txt            90          61             59552
graph_88_0.6_1.txt            88          79             21804
graph_95_0.8_8.txt            95          107            69219
graph_36_1_0.txt              36          26              7140
graph_60_0.8_4.txt            60          49             18858
graph_81_0.4_8.txt            81          33              5041
graph_88_0.4_8.txt            88          60              7241
graph_83_0.8_4.txt            83          76             47258
graph_46_0.2_3.txt            46          6                 74
graph_12_0.4_6.txt            12          5                  5
graph_14_0.2_5.txt            14          5                  8
graph_21_0.4_2.txt            21          6                 62
graph_56_0.6_2.txt            56          35              6162
graph_52_0.8_3.txt            52          22             11702
graph_58_0.8_7.txt            58          30             15015
graph_86_0.6_2.txt            86          38             20328
graph_4_0.8_0.txt             4           4                  4
graph_33_0.8_9.txt            33          9               2638
graph_8_0.8_6.txt             8           2                 21
graph_8_0.4_0.txt             8           5                  1
graph_73_0.4_6.txt            73          24              4049
graph_1_0.2_4.txt             1           1                  0
graph_35_0.8_2.txt            35          16              3071
graph_27_0.4_0.txt            27          12               249
graph_48_0.8_0.txt            48          27              9358
graph_22_0.2_1.txt            22          6                  8
graph_26_0.8_8.txt            26          25              1433
graph_11_0.2_5.txt            11          5                  2
graph_27_0.8_1.txt            27          22              1421
graph_19_0.4_2.txt            19          3                 82
graph_40_0.2_0.txt            40          14                61
graph_89_0.6_3.txt            89          37             25298
graph_54_0.8_3.txt            54          30             12313
graph_16_0.4_3.txt            16          4                 35
graph_37_0.2_2.txt            37          3                 50
graph_1_0.2_0.txt             1           1                  0
graph_77_0.6_1.txt            77          48             16982
graph_30_0.4_2.txt            30          6                295
graph_87_0.4_6.txt            87          46              7694
graph_10_0.8_4.txt            10          6                 38
graph_19_1_0.txt              19          15               969
graph_7_0.2_3.txt             7           3                  1
graph_79_0.4_6.txt            79          35              5043
graph_100_0.6_2.txt           100         92             36055
graph_17_0.6_2.txt            17          6                189
graph_76_0.4_7.txt            76          34              4484
graph_76_0.8_5.txt            76          67             37409
graph_90_0.4_3.txt            90          55              7480
graph_30_0.4_7.txt            30          11               250
graph_6_0.2_5.txt             6           2                  0
graph_25_0.6_1.txt            25          6                594
graph_58_0.8_9.txt            58          45             15147
graph_90_0.6_6.txt            90          77             25185
graph_12_0.6_7.txt            12          6                 35
graph_48_0.8_5.txt            48          29              9125
graph_41_0.6_0.txt            41          28              2120
graph_67_0.6_1.txt            67          47             10445
graph_46_0.2_7.txt            46          10               174
graph_6_0.4_8.txt             6           1                  0
graph_78_0.4_6.txt            78          26              4865
graph_29_0.2_6.txt            29          6                 37
